ID	Age	Sex	Hand	HK1	HK2	HK3	HK4	HK5	HK6	HK7	HK8	HK9	HK10	HK11	HK12	HK13	HK14	HK15	CONF	PI1	PI2	PI3	PI4	PI5	PI6	PI7	PI8	PI9	PI10	PI11	PI12	PI13	PI14	PI15	PI16	PI17	PI18	PI19	PI20
47	23	Male	R	5	2	1	4	2	3	5	5	4	5	1	4	1	4	1	4	2	3	5	1	2	2	1	5	4	2	3	2	5	1	1	1	4	1	4	2
48	22	Female	R	3	1	2	4	2	5	5	5	4	5	4	3	2	1	3	2	2	2	4	2	2	2	1	4	2	2	1	2	5	1	1	1	4	3	2	2
49	21	Male	L	4	1	2	4	3	5	4	5	3	5	4	3	2	3	4	3	3	2	5	4	1	2	3	4	2	1	2	2	5	2	2	1	4	1	2	4
50	24	Female	R	3	1	2	4	2	5	5	5	4	4	3	4	2	1	2	3	2	1	4	2	2	2	1	5	3	2	1	1	5	2	1	1	3	2	4	2
51	21	Male	R	4	1	2	4	2	5	4	4	3	4	3	4	2	2	2	3	2	2	4	2	2	2	2	4	3	2	2	2	4	1	1	1	4	1	4	2
52	18	Male	R	4	1	1	3	2	5	4	5	5	4	4	4	2	2	3	3	3	3	4	2	2	2	1	5	4	2	2	2	4	1	1	1	4	1	3	2
53	20	Female	R	3	2	1	4	1	5	5	5	4	4	2	3	1	1	1	4	3	2	4	1	1	2	1	4	4	1	1	1	5	2	1	1	4	1	4	2
54	18	Female	R	1	2	3	2	4	5	2	4	5	2	5	2	4	2	5	3	3	2	4	2	2	4	1	2	4	1	2	1	3	2	1	1	3	1	4	4
55	18	Female	R	2	2	2	3	3	4	4	5	2	4	5	4	4	2	2	2	4	2	3	3	3	3	4	2	2	2	2	3	4	4	3	2	4	2	3	2
56	24	Male	R	2	1	4	2	4	5	4	5	2	4	2	4	3	1	4	2	4	1	4	2	2	3	1	4	2	2	1	4	3	2	1	1	2	1	2	4
57	20	Female	R	2	1	2	2	4	5	5	5	2	4	4	4	4	2	2	4	2	1	5	2	2	2	1	4	1	2	2	2	5	4	1	2	2	1	2	4
58	21	Female	R	2	4	2	2	2	5	4	5	5	5	2	4	2	2	2	3	2	3	5	5	1	1	1	4	2	2	1	2	4	2	1	1	4	4	3	1
59	23	Female	R	2	2	4	4	4	5	4	3	3	3	4	4	2	2	3	1	4	2	3	2	4	4	4	2	1	4	2	4	4	2	3	4	2	2	2	2
60	22	Male	R	2	1	3	2	4	5	5	2	1	4	4	2	4	4	5	1	4	2	4	4	2	4	4	2	1	4	4	5	3	3	4	4	1	2	2	5
61	20	Female	R	4	1	2	5	4	5	5	5	5	5	1	4	2	2	2	4	2	1	5	1	1	2	1	5	2	2	1	1	5	2	1	1	4	1	3	1
62	20	Male	R	5	1	3	4	2	5	5	4	4	4	4	2	4	2	2	2	4	2	4	4	1	4	1	4	2	2	2	1	4	1	1	1	4	4	4	2
63	19	Female	R	4	1	1	5	1	5	4	3	4	5	3	4	1	3	1	4	1	1	5	1	1	1	1	4	4	1	1	1	5	1	3	1	5	1	4	1
64	29	Male	R	3	1	3	3	2	5	3	3	4	3	3	5	2	2	4	3	3	1	5	2	1	1	1	4	3	1	1	4	3	3	1	1	4	2	2	4
65	23	Female	R	4	2	2	4	2	5	2	4	4	4	5	2	4	2	4	4	2	1	4	3	2	3	1	2	4	2	2	2	4	3	1	1	3	2	3	2
66	19	Male	R	4	3	2	3	3	4	2	3	3	4	4	3	4	2	4	2	4	3	3	3	4	4	2	3	2	3	4	4	2	2	4	2	2	2	3	4
67	21	Female	R	4	1	3	2	4	4	4	2	4	5	1	2	3	1	2	3	3	2	4	2	2	4	2	2	2	4	2	2	5	1	2	2	3	1	2	2
68	20	Male	R	5	1	1	4	4	5	4	4	4	4	2	4	3	1	2	3	1	1	5	2	1	2	1	4	2	1	1	2	4	1	1	1	5	1	3	2
69	19	Male	R	2	1	4	2	4	5	4	4	2	4	2	4	2	2	5	1	4	2	4	4	2	4	1	3	2	4	2	4	4	4	3	1	2	1	4	3
70	21	Female	R	2	1	2	3	1	5	5	5	2	3	5	2	1	1	1	3	2	1	5	2	1	2	1	4	3	2	1	1	5	4	1	1	4	1	2	4
71	20	Male	R	1	1	4	2	4	5	4	5	1	4	4	2	1	1	5	4	2	1	4	2	1	2	1	4	1	2	1	2	4	2	1	1	4	1	1	1
72	24	Male	R	3	1	4	5	3	5	5	4	4	5	1	4	1	1	4	2	2	1	5	4	1	4	1	3	2	2	1	2	5	1	1	1	2	1	4	1
73	23	Female	R	2	1	2	5	2	5	5	5	2	4	4	4	2	1	1	4	2	2	4	2	2	2	1	4	3	2	1	1	4	2	1	1	4	1	3	2
74	20	Male	R	2	2	2	2	4	4	4	4	2	4	4	3	4	2	4	2	3	3	4	5	5	4	3	3	4	4	3	4	4	1	3	3	2	3	3	5
75	22	Male	R	2	2	4	2	4	5	5	5	2	5	5	3	4	2	5	1	4	2	5	4	3	4	3	2	1	4	2	5	2	4	3	2	2	2	1	4
76	22	Female	R	4	2	3	4	2	5	5	5	4	4	2	2	4	2	4	2	3	2	4	1	2	4	2	4	1	2	2	2	4	2	1	1	3	1	2	3
77	21	Female	R	2	1	4	3	3	5	5	5	4	3	4	5	1	3	4	2	4	2	4	4	2	4	3	3	1	4	4	4	4	5	3	3	2	2	1	3
78	20	Female	R	3	2	2	3	3	4	3	2	3	3	5	3	2	3	2	3	2	3	4	2	3	2	2	3	3	3	2	2	3	2	2	2	3	1	3	3
79	21	Male	R	2	2	3	2	4	5	4	5	1	4	4	5	2	2	5	1	4	1	4	5	4	4	4	5	2	4	3	4	5	4	1	1	3	1	3	4
80	21	Female	L	4	1	2	4	2	5	4	5	4	4	5	4	2	2	4	4	1	1	5	2	1	2	1	4	5	2	1	1	5	2	1	1	4	1	2	2
81	22	Female	R	2	1	4	3	4	5	4	4	2	2	5	4	2	1	4	2	3	1	4	2	2	4	1	4	3	1	1	2	4	1	1	2	2	2	1	2
82	21	Female	R	4	1	3	2	4	4	4	4	4	4	4	5	2	2	4	2	3	1	5	4	1	2	1	3	2	2	1	2	4	1	1	1	2	1	2	2
83	19	Female	R	5	1	2	5	2	5	4	5	4	5	3	4	2	2	2	4	2	2	4	2	2	2	2	4	4	2	2	2	3	2	2	2	4	2	4	2
84	19	Female	R	2	2	1	5	1	5	5	4	4	5	2	2	3	2	5	2	3	1	5	2	4	2	1	2	1	2	1	4	5	2	1	1	4	1	2	2
85	22	Male	R	4	1	1	4	1	5	4	5	4	5	4	4	2	2	1	5	2	2	2	2	1	2	2	4	2	1	1	1	5	1	1	1	5	1	5	1
86	18	Female	R	2	3	4	2	5	4	4	4	2	4	5	2	5	2	5	2	4	1	4	4	4	4	4	3	2	3	2	3	4	4	4	3	2	4	2	4
87	20	Female	R	4	1	4	2	4	5	4	5	4	5	2	4	4	1	4	1	4	3	5	4	2	2	4	4	1	1	4	4	5	2	3	2	2	1	2	1
88	19	Male	R	4	1	2	3	3	5	5	5	4	4	4	4	2	1	5	2	3	1	5	4	4	4	1	4	1	1	1	4	3	2	1	1	2	3	1	2
89	18	Female	R	2	1	2	4	1	5	4	4	2	5	5	4	1	1	1	4	2	2	5	1	1	2	1	3	2	2	1	2	5	2	1	1	4	1	2	4
90	20	Male	R	4	1	1	5	2	5	5	5	4	4	2	4	2	2	3	4	2	2	4	2	2	3	1	4	4	2	2	2	4	2	1	2	3	2	2	2
91	19	Male	R	5	1	1	5	1	5	5	5	4	5	4	5	4	1	1	5	1	1	5	4	1	2	1	5	5	1	1	1	5	1	1	1	5	1	5	1
92	18	Male	L	4	1	3	4	2	5	4	3	3	4	2	3	2	4	2	3	1	2	5	1	1	3	1	4	4	2	2	1	4	2	1	1	4	1	2	1
93	22	Female	R	2	1	3	3	4	5	4	5	2	4	4	1	2	1	3	1	3	1	4	2	2	2	1	4	2	2	1	2	5	4	1	3	3	1	2	3
94	19	Male	R	3	1	4	3	4	5	2	5	4	5	5	4	4	1	4	1	4	3	4	3	4	5	4	4	3	4	5	4	4	1	3	5	3	4	1	5
95	24	Female	R	5	1	1	5	1	5	1	1	5	5	5	5	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	5	1	1	1
96	18	Female	R	2	1	5	4	2	5	4	2	2	4	5	2	1	5	5	1	5	5	4	1	4	2	4	4	1	1	5	1	5	1	5	1	5	4	2	1
97	19	Male	R	5	1	1	5	4	5	4	5	4	4	2	4	2	2	1	2	2	3	5	4	1	1	1	4	4	1	2	1	4	1	1	2	5	1	4	2
98	22	Male	R	5	1	2	4	2	5	2	4	2	4	2	4	2	2	2	4	3	2	4	2	2	4	2	4	3	2	2	3	4	2	2	2	2	3	2	4
99	19	Female	R	4	1	2	4	2	5	4	5	4	5	5	3	2	2	2	3	2	1	4	2	2	2	1	4	3	2	2	1	5	1	2	1	4	1	3	2
100	20	Female	R	2	1	4	4	4	4	4	5	3	5	1	3	2	3	4	4	4	3	4	2	1	2	3	2	3	2	2	2	5	2	2	1	4	1	3	3
101	20	Female	L	1	1	5	2	5	3	5	5	1	2	4	2	1	5	5	1	5	2	1	5	5	4	5	1	1	5	5	5	2	4	5	5	1	4	1	5
102	25	Female	R	4	1	4	2	4	5	5	2	2	5	2	4	4	2	4	2	4	2	4	2	4	4	4	2	2	2	2	4	4	2	4	2	4	2	2	4
103	23	Male	R	5	1	1	5	2	5	5	5	5	5	2	5	2	1	2	5	4	1	5	1	1	1	1	5	5	1	1	1	5	1	1	1	5	1	5	1
104	18	Female	R	2	1	1	4	1	5	5	5	2	5	4	2	3	2	4	3	2	1	5	2	1	4	1	5	4	1	2	1	5	2	1	1	4	1	1	2
105	19	Male	R	1	4	5	2	4	5	2	5	3	1	2	3	4	2	4	1	5	2	4	4	3	4	4	3	2	4	2	4	4	3	2	3	2	4	2	3
106	22	Male	R	4	1	4	5	1	5	4	5	5	5	1	5	1	1	1	3	3	1	5	1	2	1	1	4	3	1	1	1	4	1	1	1	5	1	4	1
107	25	Male	R	4	1	2	4	2	5	3	4	4	4	2	3	3	1	2	4	2	4	4	2	2	2	1	4	4	2	1	2	4	1	2	2	4	2	3	3
108	21	Male	L	3	1	3	4	1	5	5	5	4	4	5	3	1	1	2	3	1	1	5	1	1	4	1	5	3	1	1	1	5	1	1	1	5	1	2	1
109	20	Female	R	3	2	2	4	2	4	4	4	4	4	4	3	3	2	4	2	3	2	4	2	2	4	2	3	2	2	2	2	5	2	2	3	4	2	2	2
110	19	Male	R	4	1	1	5	1	5	5	4	4	4	2	5	2	1	2	5	1	2	5	1	1	2	1	2	5	2	1	1	4	2	1	1	4	1	2	4
111	19	Male	R	4	1	4	4	2	5	4	5	5	4	4	4	2	1	2	3	3	2	4	4	1	4	1	4	3	2	2	1	5	1	1	2	5	2	4	1
112	21	Female	L	2	1	4	1	2	5	5	5	2	5	4	5	3	4	5	1	4	1	5	3	4	4	3	5	1	4	4	5	4	1	3	2	4	1	1	2
113	18	Female	L	4	1	2	4	3	5	5	4	5	4	4	4	2	2	3	3	2	1	4	2	2	3	1	3	2	2	2	1	5	1	1	1	4	1	4	4
114	20	Male	R	2	2	3	5	2	5	2	5	4	4	2	3	2	1	1	4	2	3	4	1	1	2	1	4	5	1	1	1	3	4	1	1	4	1	3	1
115	20	Female	R	4	1	1	4	4	5	4	5	4	2	4	5	4	1	2	2	2	2	5	2	2	4	1	4	2	1	1	1	5	1	1	1	4	1	4	2
116	22	Female	R	2	2	2	4	2	5	5	5	2	4	4	4	2	2	5	3	3	2	4	4	4	4	3	4	3	4	4	3	4	1	2	2	4	2	4	4
117	20	Female	R	4	1	3	2	2	5	5	4	4	2	3	2	1	2	3	3	2	2	4	1	2	4	1	2	3	2	1	2	3	4	2	1	3	1	3	5
118	22	Female	R	2	1	5	2	5	5	5	4	2	2	4	3	2	2	4	1	5	1	3	4	2	3	4	1	1	3	2	5	4	2	5	4	1	2	3	4
119	23	Male	R	4	4	3	5	4	5	4	3	4	4	5	1	2	3	4	3	3	3	4	4	3	4	3	4	5	4	3	4	4	3	4	3	4	4	3	4
120	22	Male	R	2	5	5	2	5	5	4	3	1	2	5	1	5	4	5	2	5	2	4	5	3	2	3	1	2	5	4	5	4	1	4	2	2	2	4	3
121	18	Male	R	4	1	2	4	3	5	5	5	4	4	4	5	4	4	1	2	3	3	4	3	4	4	1	3	2	2	2	2	5	1	1	1	5	4	2	4
122	23	Male	R	5	1	4	2	4	5	5	4	5	3	4	3	4	2	4	2	4	1	4	4	5	4	3	2	2	3	1	4	5	1	4	2	2	1	2	5
123	19	Male	R	4	1	3	4	2	5	4	4	4	4	4	4	3	2	2	4	2	3	4	4	1	3	1	4	3	2	2	3	2	4	3	2	2	2	2	3
124	20	Female	R	4	5	2	5	4	5	3	5	4	2	5	4	4	2	2	4	1	2	3	1	2	4	1	4	1	2	1	2	5	1	1	2	4	1	1	2
125	20	Male	L	2	2	2	4	4	5	4	2	4	4	4	2	2	2	4	2	4	4	4	2	2	4	4	2	2	4	2	4	2	4	2	2	3	2	2	4
126	22	Male	R	3	2	4	3	4	5	4	5	2	4	4	4	2	4	4	2	4	4	5	2	2	4	1	4	1	2	5	4	4	1	2	1	2	4	1	4
127	21	Female	R	5	1	1	5	1	5	5	5	5	5	4	4	1	1	2	4	2	1	4	1	1	1	1	5	4	1	1	1	5	1	1	1	5	1	4	1
128	18	Male	R	3	1	1	4	2	5	4	5	4	4	5	2	4	2	1	4	2	4	5	2	2	2	1	4	2	2	2	2	2	4	2	4	4	2	2	1
129	23	Male	R	4	1	1	4	2	5	5	5	2	4	4	4	1	1	1	5	1	1	5	1	1	1	1	5	5	2	1	1	5	2	1	1	5	1	3	1
130	22	Male	R	4	2	1	5	2	5	4	5	4	4	5	4	1	2	1	5	1	2	4	1	1	3	1	5	5	2	1	1	3	2	1	1	4	1	4	2
131	19	Female	R	4	1	2	4	2	5	4	5	4	4	5	5	2	1	4	3	3	2	4	2	1	3	2	2	2	2	1	2	5	2	3	1	4	1	2	4
132	23	Female	R	4	1	2	4	2	5	5	5	4	4	5	3	2	2	3	3	2	4	4	3	2	3	2	4	3	2	2	3	4	2	2	2	3	1	2	2
133	19	Female	R	2	2	1	4	5	5	5	5	2	5	5	5	1	1	1	4	2	4	4	4	1	1	1	5	1	1	1	1	5	1	1	1	2	1	2	4
134	18	Male	R	2	1	3	3	2	5	5	4	3	4	1	5	4	1	3	2	3	2	4	3	1	3	1	4	2	2	1	2	5	4	1	3	2	3	1	2
135	23	Male	R	5	1	1	5	1	5	5	5	5	5	1	5	1	1	1	5	1	1	5	1	1	1	1	5	5	1	1	1	5	1	1	1	5	1	5	1
136	24	Male	R	2	1	2	4	2	5	4	4	4	4	1	4	2	2	2	4	2	1	4	1	1	2	1	2	2	1	1	3	5	1	1	1	4	1	2	4
137	21	Male	R	4	1	1	2	2	5	2	5	4	4	3	4	4	2	1	4	2	1	5	2	1	2	1	4	4	2	2	1	5	2	1	1	4	1	3	2
138	21	Female	R	4	1	1	4	2	5	5	5	4	4	3	3	1	1	2	4	2	2	5	2	2	3	2	4	4	2	2	2	4	1	2	2	3	3	3	1
139	20	Female	R	2	1	4	2	4	5	5	5	4	3	5	4	2	2	4	2	3	2	5	1	3	4	1	3	2	2	2	2	5	2	1	1	2	2	2	5
140	20	Male	R	4	1	3	2	4	5	5	5	4	5	3	4	4	3	4	1	4	1	4	5	1	2	1	4	1	1	4	3	3	4	1	3	4	4	5	3
141	19	Male	R	2	1	2	5	4	5	5	5	2	3	4	3	4	4	5	1	4	1	4	2	5	4	5	3	2	5	5	5	2	4	4	3	2	2	1	4
142	20	Female	R	1	1	3	2	4	1	5	4	3	2	4	4	4	1	2	2	3	1	5	1	1	2	2	2	2	1	1	3	2	4	1	1	4	4	1	2
143	20	Female	R	2	4	3	4	2	5	4	3	4	4	3	4	2	2	4	2	3	3	4	2	4	2	2	3	2	2	2	2	4	3	2	2	4	2	2	4
144	20	Male	R	4	1	2	5	2	5	5	4	4	4	2	4	2	2	2	4	2	1	4	2	2	2	1	4	4	2	2	2	4	2	1	1	4	1	2	2
145	20	Female	R	2	1	3	3	4	4	5	5	3	4	2	3	2	2	4	2	3	2	4	4	2	3	1	2	3	2	2	2	4	4	1	2	3	3	2	2
146	19	Male	R	3	2	3	4	5	5	3	5	4	4	5	2	4	5	4	3	5	2	5	5	1	4	4	3	4	2	4	3	3	5	2	1	1	4	2	1
147	23	Female	R	2	1	1	4	2	5	5	5	4	4	4	3	2	1	4	2	2	1	4	2	1	4	1	4	3	1	1	1	4	1	1	1	2	1	2	2
148	21	Male	R	4	1	1	5	1	5	5	5	5	5	3	4	2	2	1	4	1	1	5	1	1	2	1	5	4	2	2	1	5	2	1	1	5	1	4	1
149	18	Male	R	4	1	1	4	2	5	5	5	4	5	2	3	2	1	1	5	1	1	5	1	1	2	1	5	5	2	1	1	4	2	1	1	4	1	3	1
150	19	Female	R	4	1	3	3	3	5	4	5	4	4	5	2	3	2	2	3	2	2	4	2	2	2	2	3	3	2	2	2	4	2	2	1	3	1	2	2
151	21	Male	R	3	1	3	5	2	5	5	5	4	5	4	3	2	3	3	2	3	2	4	2	1	4	3	4	2	4	3	4	3	1	2	2	3	1	2	3
152	23	Male	R	4	2	2	4	3	5	4	5	5	4	2	4	2	1	2	4	2	2	4	2	2	2	2	4	3	2	1	2	5	2	2	2	4	1	2	1
153	33	Male	L	4	1	2	5	2	5	4	5	5	5	4	4	4	1	4	2	2	2	5	2	2	2	2	4	2	2	4	2	5	2	2	1	2	1	2	2
154	22	Male	R	4	2	3	2	4	5	4	5	3	5	5	4	4	3	4	2	2	4	4	4	4	3	5	4	4	2	3	3	4	4	2	1	2	2	2	4
155	20	Female	R	2	1	2	4	3	5	2	4	3	4	5	4	5	2	4	2	4	1	4	2	2	4	2	4	3	2	1	2	4	4	1	2	3	2	2	2
156	20	Female	R	2	1	2	3	2	5	4	4	4	5	5	4	2	1	2	4	2	2	5	1	1	2	1	4	4	2	1	1	5	2	1	1	5	1	3	2
157	19	Male	R	4	1	2	4	2	5	5	5	4	4	1	2	2	2	4	4	2	2	4	1	2	4	2	4	4	2	2	2	4	2	1	1	2	2	1	4
158	19	Female	R	2	1	3	4	3	4	4	4	3	4	5	4	3	1	3	3	2	1	4	4	3	4	1	3	2	3	1	1	4	1	1	1	3	2	3	3
159	21	Female	R	1	4	4	4	4	5	5	3	2	4	5	2	4	3	4	2	4	3	3	4	2	5	3	2	2	2	3	4	2	5	4	3	1	1	1	4
160	19	Female	R	4	1	1	4	2	5	5	5	5	5	4	5	2	2	3	3	2	1	5	2	1	2	1	5	4	1	1	1	5	1	1	1	5	1	4	1
161	22	Male	R	2	2	3	4	2	5	4	5	4	4	2	2	2	2	4	2	3	2	4	4	1	4	1	3	2	2	2	2	4	4	1	1	3	2	2	2
162	20	Male	L	4	1	1	5	2	5	5	5	5	4	4	5	1	1	1	4	2	1	5	4	1	2	1	5	5	1	1	1	5	1	1	1	5	1	4	2
163	19	Male	R	3	2	2	4	2	5	2	4	4	5	2	4	2	2	4	4	2	2	4	2	2	2	1	4	4	2	1	2	3	2	1	2	4	1	2	2
164	21	Female	R	2	1	2	2	4	5	4	2	2	4	5	1	2	1	4	2	4	4	4	4	4	4	3	2	2	3	1	4	5	4	2	2	2	1	2	2
165	22	Female	R	2	1	3	4	4	5	5	4	5	5	5	5	2	2	4	1	4	2	3	2	1	2	2	2	2	3	4	4	5	4	3	3	3	1	4	4
166	23	Male	R	2	1	5	2	5	5	4	5	1	5	5	4	2	4	5	1	5	4	5	5	4	5	5	3	1	3	4	4	4	3	3	4	1	4	3	4
167	26	Female	R	4	4	4	2	4	5	5	2	2	4	2	4	2	5	5	1	5	5	4	5	5	5	4	1	1	4	5	5	5	2	4	5	1	4	1	5
168	19	Female	R	5	1	1	5	1	5	4	5	4	5	4	5	1	1	1	5	2	1	5	1	1	1	1	5	5	1	1	1	4	1	1	1	5	1	2	2
169	23	Female	R	2	1	3	4	1	5	5	5	4	5	3	2	3	1	3	2	3	1	5	4	2	3	2	3	3	3	1	3	3	3	1	1	3	1	3	4
170	21	Female	R	4	4	2	4	4	4	4	5	5	4	5	4	2	2	2	4	2	2	4	2	2	4	2	4	4	2	2	2	5	2	2	2	3	2	4	4
171	21	Female	R	4	1	1	4	2	5	4	4	4	5	4	4	2	2	2	4	2	2	4	2	2	2	1	4	4	2	2	2	4	2	1	2	4	1	4	2
172	18	Male	L	5	4	1	5	1	5	5	5	5	5	4	5	1	1	1	4	1	1	5	1	1	1	1	5	5	1	1	1	5	1	1	1	5	1	5	1
173	25	Female	R	2	3	1	4	4	5	5	5	4	5	4	5	1	1	2	3	2	5	5	3	1	2	1	5	1	1	2	2	5	3	1	2	3	1	2	2
174	23	Female	R	5	1	2	5	2	5	5	5	3	4	4	5	2	2	2	4	2	1	5	1	1	2	2	5	4	2	2	2	4	1	1	1	4	2	4	4
175	21	Female	R	1	1	1	2	1	5	1	1	1	5	1	1	4	1	5	1	5	1	2	4	1	4	1	1	1	1	4	1	2	5	1	2	4	2	1	2
176	20	Male	L	2	2	4	2	4	5	5	4	4	5	1	3	5	4	5	2	4	3	4	4	5	5	4	2	2	4	4	5	2	4	3	3	2	4	4	4
177	23	Male	R	4	4	4	4	4	5	4	5	2	4	5	2	5	5	1	3	3	4	4	4	4	4	2	4	4	4	1	2	3	3	4	4	5	4	4	3
178	19	Female	R	4	4	1	4	2	5	5	5	2	5	4	4	2	1	2	2	1	1	5	1	1	1	1	5	4	1	1	2	4	1	1	1	4	1	2	4
179	19	Male	R	4	1	3	3	2	5	4	5	2	3	2	4	2	1	1	3	1	1	5	2	1	4	1	3	3	2	1	3	3	4	1	1	2	3	2	3
180	24	Female	R	2	1	5	2	5	3	2	2	5	4	2	4	1	5	5	1	4	5	4	4	4	4	3	2	3	1	5	2	2	1	1	2	2	3	3	3
181	20	Female	R	5	1	1	4	2	5	5	5	5	5	2	4	2	1	2	4	1	1	4	1	1	1	1	5	4	1	1	1	5	1	1	1	4	1	4	1
182	26	Male	R	4	1	4	2	4	5	2	2	4	4	4	2	4	2	5	1	4	2	4	4	2	4	1	2	2	2	2	4	4	2	1	2	3	2	1	1
183	21	Female	R	2	1	3	3	3	5	4	3	5	3	5	4	5	2	2	2	4	1	4	2	2	2	1	3	3	1	2	2	5	2	1	1	3	1	4	2
184	19	Female	R	1	4	4	5	2	5	4	5	2	5	2	3	2	1	5	2	4	2	4	2	4	4	4	2	1	2	3	4	5	4	3	2	2	2	2	2
185	19	Female	L	2	1	4	2	5	5	5	2	4	3	5	4	4	4	5	1	4	2	5	2	2	4	4	1	1	2	2	4	1	2	2	1	1	2	2	4
186	22	Female	R	4	2	2	4	2	5	4	5	4	4	4	3	2	2	4	3	2	2	4	2	2	3	2	3	4	2	2	2	4	2	2	2	4	2	2	4
187	19	Female	R	5	1	1	5	1	5	5	5	5	4	5	4	2	1	1	5	1	4	5	1	1	2	1	5	5	1	1	1	5	2	1	1	4	1	2	1
188	18	Male	R	2	2	4	4	5	5	5	5	2	3	2	4	2	2	4	1	3	2	4	2	2	4	4	5	1	2	4	4	4	4	4	4	3	2	1	4
189	24	Male	R	4	2	1	4	2	5	5	5	5	5	3	5	2	1	1	5	2	1	5	1	2	1	1	5	5	1	1	1	4	1	1	1	5	1	4	1
190	20	Male	R	4	2	1	4	2	5	4	4	4	4	2	3	2	2	2	4	2	2	4	2	2	2	2	4	4	2	2	2	3	2	1	2	4	1	4	2
191	18	Male	R	1	1	1	4	2	5	3	2	3	5	2	5	2	1	3	3	1	1	4	3	1	2	1	3	3	1	1	1	4	1	1	1	4	1	2	1
192	22	Male	L	4	1	2	4	2	5	4	4	4	4	2	3	4	1	1	4	2	2	5	2	2	2	2	4	2	4	2	2	4	1	1	1	4	1	3	2
193	19	Female	R	5	1	2	4	1	5	4	3	5	4	2	4	1	2	2	2	2	2	4	2	1	2	1	4	3	2	2	2	4	1	1	1	3	1	2	4
194	23	Male	R	2	1	3	4	2	5	5	4	2	5	4	5	1	1	2	3	3	1	5	2	1	2	2	3	3	1	1	1	5	1	1	1	5	1	3	1
195	23	Male	R	2	1	5	4	3	5	4	5	2	4	2	4	2	4	4	1	4	4	4	5	2	4	1	3	2	4	4	4	4	1	2	2	2	1	1	4
196	19	Male	R	4	1	2	3	2	5	4	3	5	4	2	3	4	2	2	4	2	3	4	2	1	4	1	3	2	2	2	2	4	5	3	1	4	1	2	4
197	21	Female	R	4	1	2	4	2	5	5	5	4	5	2	4	1	1	3	3	2	1	5	2	1	4	1	4	3	4	1	1	5	1	2	1	2	1	2	3
198	21	Female	R	4	1	1	5	1	5	5	5	5	5	5	5	1	1	1	5	3	3	5	1	1	1	1	4	1	3	1	2	3	1	2	2	3	3	3	1
199	18	Male	R	2	1	2	4	2	5	5	5	2	4	5	4	2	1	2	4	2	2	4	2	2	2	1	4	5	1	2	1	5	2	1	1	5	2	2	2
200	21	Female	R	2	3	4	4	2	5	5	5	2	5	5	3	2	2	4	2	3	2	4	4	3	2	3	2	1	4	2	3	4	2	3	1	2	4	2	3
201	21	Female	R	4	1	2	4	2	5	5	5	3	5	2	4	1	1	1	5	2	2	5	2	2	2	1	4	4	3	1	1	5	1	1	1	4	1	2	4
202	23	Male	R	2	1	4	2	2	4	2	1	2	4	2	2	2	1	4	2	4	3	4	4	4	4	3	1	2	5	1	4	3	4	3	4	1	2	2	4
203	20	Male	R	2	1	4	4	3	5	2	4	4	3	4	2	2	2	5	1	5	2	2	4	4	3	1	4	2	3	1	4	2	4	2	3	2	2	1	4
204	20	Male	R	2	4	2	4	1	5	5	5	2	5	4	2	1	1	1	3	2	1	5	1	1	2	1	5	3	1	1	1	5	1	1	1	5	1	4	1
205	24	Male	R	4	1	1	5	2	5	4	5	4	4	2	4	2	1	2	3	2	1	5	2	1	2	1	4	3	2	2	3	5	1	2	1	4	1	3	4
206	23	Male	L	3	1	2	2	3	5	4	4	2	4	4	3	4	4	2	3	3	2	4	3	2	3	2	2	3	2	4	2	3	3	2	2	2	2	2	3
207	19	Male	R	4	1	2	3	3	3	4	5	5	5	3	4	3	1	4	3	3	3	4	4	2	2	2	3	3	3	2	2	3	2	2	2	4	2	4	2
208	23	Male	R	2	1	2	5	1	5	2	4	2	4	4	4	4	4	4	2	3	2	4	4	2	5	2	4	2	4	2	2	2	4	4	2	2	1	1	5
209	21	Female	R	1	1	1	2	2	5	5	5	4	4	1	2	4	1	1	4	4	2	5	4	2	4	4	4	4	4	4	4	2	2	3	4	3	2	2	4
210	22	Male	R	2	2	4	2	5	5	4	4	4	4	2	2	2	1	5	1	4	2	5	5	5	4	2	3	4	4	2	4	2	4	3	2	2	1	2	4
211	24	Male	R	3	2	2	3	3	5	5	5	4	5	4	4	3	1	4	3	3	2	4	2	3	4	1	5	3	2	1	2	4	1	2	2	4	1	2	4
212	20	Male	R	4	3	2	2	2	5	4	5	2	5	5	4	2	1	1	4	2	1	5	2	2	1	1	5	4	1	1	1	4	3	1	1	4	1	4	2
213	19	Female	R	4	1	1	5	2	5	5	4	2	5	4	4	2	1	2	4	2	2	4	2	2	2	1	3	4	2	1	2	5	2	1	1	4	2	3	2
214	21	Male	R	2	2	2	4	2	5	5	5	4	4	1	4	2	1	4	3	3	1	5	3	1	3	1	4	5	1	1	1	5	2	1	1	4	1	3	2
215	18	Female	R	4	1	2	4	2	5	4	4	5	4	2	2	2	2	2	4	2	2	5	2	1	2	1	4	5	2	2	2	5	1	1	1	4	1	4	1
216	21	Female	R	2	1	4	2	4	5	5	5	2	4	4	4	1	1	5	1	5	2	5	2	1	4	2	4	1	2	1	4	4	2	1	2	4	1	1	5
