ID	Age	Sex	Hand	HK1	HK2	HK3	HK4	HK5	HK6	HK7	HK8	HK9	HK10	HK11	HK12	HK13	HK14	HK15	CONF	PI1	PI2	PI3	PI4	PI5	PI6	PI7	PI8	PI9	PI10	PI11	PI12	PI13	PI14	PI15	PI16	PI17	PI18	PI19	PI20
781	21	Female	R	2	1	1	4	2	5	4	5	4	4	2	4	2	1	2	4	2	2	4	2	1	2	1	4	2	2	1	2	4	2	1	2	4	1	4	2
782	20	Male	R	2	4	5	2	5	4	4	3	2	4	2	4	4	3	5	1	5	3	5	4	2	4	4	2	1	3	4	4	3	2	4	4	1	2	2	2
783	20	Female	R	2	1	1	2	4	5	4	4	2	5	4	2	4	2	4	1	4	3	5	4	2	2	1	2	1	3	2	3	5	2	4	2	2	1	2	3
784	20	Male	R	5	1	1	5	1	5	5	5	5	5	1	5	1	1	1	5	1	1	4	1	1	2	1	4	5	1	1	1	4	1	1	1	4	1	4	1
785	21	Female	R	4	4	1	4	4	5	5	5	4	3	2	4	2	2	3	4	2	4	5	3	2	1	1	5	2	2	1	2	5	2	2	2	2	2	3	2
786	21	Female	L	4	1	2	4	2	5	4	5	4	4	5	4	2	1	2	4	2	1	5	2	1	2	1	5	4	1	1	1	5	1	1	1	3	1	4	3
787	21	Female	R	2	1	1	4	3	5	5	5	4	4	4	4	2	1	1	4	1	1	4	2	2	2	1	4	3	3	1	1	4	4	1	1	4	1	4	1
788	19	Female	R	1	3	5	2	2	5	5	5	2	5	5	5	2	4	5	1	5	3	4	5	3	4	2	4	1	3	4	5	5	5	2	4	3	1	3	2
789	21	Male	R	2	1	4	3	2	5	5	5	3	4	2	4	3	1	2	2	2	1	5	2	2	2	2	4	2	2	1	2	4	3	1	1	3	2	1	3
790	21	Male	R	2	1	3	5	1	5	5	5	5	5	1	4	2	2	2	4	2	2	5	1	1	2	1	4	4	2	2	2	3	2	2	1	4	1	2	2
791	21	Female	R	4	1	2	5	4	5	5	5	4	5	5	4	2	3	1	4	1	1	5	1	1	1	1	5	4	2	2	2	4	1	1	1	5	2	3	2
792	22	Male	R	2	1	3	2	4	5	4	4	2	3	1	4	2	1	5	1	3	2	5	4	2	5	2	3	1	4	3	3	4	2	3	4	2	1	1	5
793	23	Male	R	5	1	3	4	2	5	5	5	5	5	4	3	1	2	4	3	3	3	5	2	2	1	2	4	3	2	2	2	3	2	1	3	4	1	1	2
794	21	Male	R	4	1	2	4	2	5	5	5	5	5	4	4	4	1	4	2	2	2	4	2	1	2	1	4	2	1	1	1	5	1	1	1	4	1	3	2
795	18	Female	R	2	1	3	4	2	5	4	4	3	5	4	3	3	2	3	2	3	2	4	2	3	2	1	4	2	1	2	2	4	4	1	2	3	2	3	3
796	21	Male	R	4	4	1	4	2	5	4	5	4	4	5	2	1	1	2	4	1	1	5	1	1	1	1	4	2	1	1	1	4	1	1	1	4	1	2	2
797	23	Male	R	2	1	4	2	4	5	4	4	2	4	2	4	3	4	4	1	3	2	4	3	2	4	4	2	2	2	4	5	2	2	2	2	2	2	2	4
798	22	Male	L	4	1	2	4	2	5	5	5	5	5	5	4	2	2	1	2	2	2	4	2	2	2	1	4	3	1	2	2	5	2	1	1	2	1	2	4
799	21	Female	R	4	1	3	2	3	5	5	4	2	5	4	4	2	2	5	1	4	2	4	4	3	3	2	2	2	2	4	4	3	2	4	3	2	1	1	4
800	21	Female	R	2	1	3	3	2	5	5	4	2	5	5	4	2	2	3	1	4	3	4	1	1	1	3	3	1	1	1	4	5	1	3	1	4	1	4	1
801	20	Female	R	1	2	3	4	5	5	5	5	3	4	1	5	3	3	4	2	3	3	5	2	2	2	4	5	2	2	1	4	5	1	3	4	4	1	1	1
802	22	Male	R	3	2	2	4	2	5	5	5	3	4	2	3	2	4	2	3	3	2	4	2	1	2	1	4	3	2	2	2	4	2	2	2	4	1	2	2
803	22	Male	R	2	2	3	1	4	4	4	4	2	3	4	4	3	2	3	3	3	3	4	2	3	3	3	4	3	4	3	3	4	3	3	3	3	2	2	5
804	19	Female	R	4	2	2	4	4	5	5	4	4	4	4	3	2	1	2	3	1	4	4	4	2	2	1	4	2	2	2	3	4	3	1	2	4	1	3	4
805	19	Male	R	1	1	4	3	4	5	4	5	2	5	2	3	2	1	4	2	3	1	4	3	1	3	1	3	2	3	4	4	3	3	3	2	3	1	1	4
806	18	Male	R	2	4	4	2	4	5	5	5	4	4	5	4	2	1	5	1	4	4	5	4	2	2	1	4	2	2	2	3	2	1	4	1	3	3	2	2
807	21	Male	R	4	2	2	2	4	5	2	4	4	4	4	4	3	2	4	2	3	2	4	4	2	4	2	4	4	2	2	4	4	1	2	2	4	1	2	4
808	22	Female	R	5	1	5	1	5	4	5	2	2	5	4	5	2	2	5	1	4	5	3	1	2	3	1	2	3	3	1	4	5	2	1	1	3	1	2	3
809	18	Male	R	4	4	1	5	2	5	5	5	5	3	2	4	2	2	1	5	1	3	5	2	1	4	1	3	5	3	1	1	5	1	2	1	4	1	3	4
810	23	Male	R	3	2	3	4	3	5	4	4	3	3	2	5	2	1	2	3	2	2	5	2	2	2	2	2	2	2	1	1	1	2	2	1	3	1	4	1
811	24	Male	R	2	2	5	1	4	4	4	2	1	2	5	2	2	2	4	1	5	2	4	2	4	2	4	1	1	2	2	4	4	3	2	2	2	1	1	2
812	18	Male	R	2	1	2	4	2	5	4	4	4	4	4	4	4	3	2	4	2	4	5	2	2	4	1	4	4	1	3	2	2	4	1	1	4	1	1	2
813	20	Male	R	3	1	3	5	1	5	5	5	3	4	4	4	1	1	1	5	1	1	5	1	2	4	1	5	4	2	1	1	5	1	1	1	4	1	3	1
814	19	Female	R	4	1	3	4	2	5	5	5	5	4	5	4	2	2	2	3	3	1	5	3	1	1	1	5	4	1	2	1	5	1	2	1	4	1	5	2
815	19	Female	R	2	3	4	3	4	5	4	5	2	5	4	1	4	2	4	1	4	2	4	2	2	3	4	2	2	4	2	3	4	3	3	4	4	2	2	4
816	19	Female	R	2	1	4	2	3	4	2	4	2	3	4	2	4	3	3	2	3	2	4	2	2	2	4	3	2	2	2	2	4	4	4	2	3	2	2	4
817	19	Female	R	3	1	2	4	3	5	5	5	4	5	3	3	2	1	2	3	2	4	4	2	2	3	1	5	4	2	3	2	4	3	2	2	3	1	2	3
818	19	Male	R	5	1	1	5	1	5	2	5	5	4	4	4	2	2	1	5	1	2	4	1	1	4	1	5	4	1	1	1	5	1	1	1	5	1	4	1
819	21	Female	R	2	1	5	2	2	1	4	4	2	4	5	5	3	2	5	1	5	4	5	4	2	3	5	2	1	2	4	5	3	4	2	3	3	1	1	4
820	22	Male	R	5	4	2	4	2	5	4	4	4	4	4	4	3	2	2	5	1	2	5	2	2	2	1	5	5	2	1	1	4	1	1	1	5	1	4	1
821	21	Male	R	3	2	3	5	2	5	4	5	3	5	4	5	4	1	4	2	3	2	5	4	3	4	2	4	3	2	1	3	4	2	2	1	2	1	2	4
822	18	Female	R	1	1	5	5	1	5	5	5	3	5	5	3	1	1	1	1	4	1	5	2	1	2	1	5	3	2	1	3	5	1	3	1	5	1	2	1
823	21	Male	R	2	4	3	3	3	5	4	2	2	5	2	5	4	2	4	3	4	2	3	4	2	4	4	3	2	3	4	3	4	4	3	1	2	2	2	4
824	26	Male	R	3	4	3	4	3	5	3	4	2	2	5	2	4	2	3	3	3	2	2	2	1	2	1	3	2	3	2	3	2	4	3	2	2	1	2	2
825	19	Male	L	4	5	3	4	4	5	4	4	2	4	4	4	4	2	4	1	4	3	3	4	4	2	2	2	1	3	2	4	3	2	2	2	2	4	3	3
826	21	Male	R	2	1	1	4	2	5	3	5	4	5	4	1	4	1	2	4	2	1	1	1	1	1	1	1	1	2	4	2	1	1	1	1	4	1	1	1
827	19	Female	R	3	5	4	5	3	5	4	4	2	2	3	5	3	2	2	3	3	3	5	3	2	3	1	3	2	3	3	3	3	1	5	3	2	1	3	1
828	19	Male	R	2	2	4	2	4	5	2	4	2	5	2	2	4	1	5	1	5	3	4	4	3	4	1	2	1	4	1	4	5	4	3	2	4	4	2	4
829	24	Male	R	2	1	2	4	4	5	4	5	2	5	5	5	2	1	4	1	4	1	5	2	1	2	1	4	1	2	1	4	5	1	2	1	4	1	2	4
830	18	Female	R	5	1	2	3	2	5	5	5	5	5	5	5	1	1	4	4	1	2	4	4	2	2	1	4	1	1	1	2	5	1	1	1	2	1	1	4
831	22	Female	R	4	1	1	5	2	5	5	5	4	4	4	3	2	1	2	3	2	3	4	2	1	1	1	5	4	1	1	1	4	1	1	1	4	1	4	2
832	21	Female	R	1	1	4	2	4	5	5	4	5	3	5	5	1	2	5	1	4	2	4	4	1	2	1	2	2	2	1	4	4	4	2	1	2	1	5	1
833	25	Female	R	2	1	4	3	3	5	5	5	2	2	5	3	2	1	4	1	4	1	2	4	2	4	1	3	2	3	1	1	3	2	3	2	2	1	1	3
834	22	Female	R	1	1	4	1	4	5	5	4	1	3	5	1	2	1	5	2	4	1	4	5	2	1	4	4	4	1	1	4	5	4	1	1	5	4	1	2
